ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Mounted,LCSC Assembly
1,INA226AIDGSR,INA,MSOP-10,1,INA226AIDGSR,TI,Digi-Key,296-29034-1-ND,,Yes,
2,3.3k 5%,"R1,R2",0603,2,?,,Digi-Key,311-3.3KGRCT-ND,,Yes,
3,100k 5%,R3,0603,1,?,,Digi-Key,P100KGCT-ND,,Yes,
4,10 1%,"R4,R5",0603,2,?,,Digi-Key,MCT0603-1.00-CFCT-ND,,Yes,
5,100n,"C1,C2,C14,C15,C16,C17,C18,C19,C22,C23,C24,C26,C27,C3,C4,C5,C6,C10,C37,C40",0603,20,?,,Digi-Key,399-1099-1-ND,,Yes,
6,1 0.25%,R21,0805,1,?,,Digi-Key,CRT0805-CY-1R00ELFCT-ND,,Yes,
7,FT2232HL,BRIDGE,LQFP-64_10X10X05P,1,FT2232HL,FTDI,Digi-Key,768-1024-1-ND,,Yes,
8,600R/0.5A,"L1,L2",0603,2,742863160,,Digi-Key,732-2389-1-ND,,Yes,
9,1u,"C25,C11",0603,2,?,,Digi-Key,1276-1182-1-ND,,Yes,
10,10k,"R8,R10,R11,R13,R7",0603,5,?,,Digi-Key,P10KGCT-ND,,Yes,
11,12k,R9,0603,1,?,,Digi-Key,P12KGCT-ND,,Yes,
12,CRYSTAL,12MHZ,HC49US,1,9B-12.000MEEJ-B,,Digi-Key,887-1238-ND,,No,
13,27p,"C28,C29",0603,2,?,,Digi-Key,490-6047-1-ND,,Yes,
14,AT93C66B-SSHM-T,MEM,SOIC-8_150MIL,1,AT93C66B-SSHM-T,MICROCHIP,Digi-Key,AT93C66B-SSHM-TCT-ND,,Yes,
15,2.2k,R12,0603,1,?,,Digi-Key,P2.2KGCT-ND,,Yes,
16,4.7u,"C30,C20",0603,2,?,,Digi-Key,1276-1045-1-ND,,Yes,
17,STM32F103RET6,CN,LQFP-64_10X10X05P,1,STM32F103RET6,STMicroelectronics,Digi-Key,497-11529-ND,,Yes,Yes
18,ABS25 - Crystal 32.768kHz SMD,CRYSTAL,ABS25 - SMD CRYSTAL 32.768KHZ,1,ABS25-32.768KHZ-6-T,,Digi-Key,535-10240-1-ND,,Yes,
19,8p,"C7,C8",0603,2,?,,Digi-Key,490-14433-1-ND,,Yes,
20,10n,"C9,C39,C42",0603,3,?,,Digi-Key,445-5662-1-ND,,Yes,
21,CRYSTAL,16MHZ,HC49US,1,ABL-8.000MHZ-B2,,Digi-Key,535-9041-ND,,No,
22,20p,"C12,C13",0603,2,?,,Digi-Key,399-14498-1-ND,,Yes,
23,FSMCTTR,RST,FSMCTTR,1,FSMCTTR,,Digi-Key,450-2133-1-ND,,Yes,
24,LM3940IMP-3.3,REG3V3,SOT223,1,?,,Digi-Key,LM3940IMPX-3.3/NOPBCT-ND,,Yes,
25,0.47u,C35,0603,1,?,,Digi-Key,490-1539-1-ND,,Yes,
26,60[OHM],"L4,L5",0805,2,?,,Digi-Key,535-13420-1-ND,,Yes,
27,LED-Red(0603),CN-ON,LED-0603,1,FC-DA1608UGK-520D10,Foshan NationStar Optoelectronics,Digi-Key,160-1446-6-ND,,Yes,
28,330,R6,0603,1,?,,Digi-Key,YAG1314CT-ND,,Yes,
29,Header-Male-2.54_1x2,"3V3_IN,BAT,HOUT",HDR-2X1/2.54,3,826629-2,TE Connectivity,Digi-Key,732-5315-ND ,,Yes,
30,4.7u,"C21,C38",CAP-D4.0XH5.5,2,?,,Digi-Key,PCE3931CT-ND,,Yes,
31,33u,C36,0805,1,?,,Digi-Key,445-5986-1-ND,,Yes,
32,TS5A4624DCKT,MUX,SC-70-6(SOT-363),1,TS5A4624DCKT,TI,Digi-Key,296-19804-1-ND,,Yes,
33,0,R14,0805,1,?,,Digi-Key,311-0.0CRCT-ND,,Yes,
34,Micro USB-B 5P_C40942,"USBCN,USBON",MICRO-USB-12,2,Micro USB-B 5P_C40942,ValuePro,Digi-Key,609-4052-1-ND,,Yes,
35,B2B-PH-K-S(LF)(SN),BAT-JST,PH-2A,1,B2B-PH-K-S(LF)(SN),JST,Digi-Key,455-1704-ND,,Yes,
36,Header-Male-2.54_2x10,P2,HDR-10X2/2.54,1,?,,Digi-Key,609-3221-ND,,Yes,
37,CONN-USB-Female,USB,CONN-USB-A,1,1001-002-01100,,Digi-Key,1175-1001-ND,,Yes,
